epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,920.618,1.52106,4.02187,1.22438,0.49713,0.27706,0.29195,0.17243,1.34791,2.57066,1.18104,7.88496e-05,7.88496e-05,7.88496e-05
2,2342.74,1.38908,2.04137,1.20453,0.73603,0.81703,0.82061,0.51612,1.36738,1.28529,1.21835,0.000155051,0.000155051,0.000155051
3,3936.33,1.362,1.39441,1.2017,0.90296,0.93159,0.95749,0.60571,1.31763,1.0054,1.19881,0.000228111,0.000228111,0.000228111
4,5501.65,1.32497,1.15721,1.17851,0.94172,0.96309,0.9793,0.63053,1.28105,0.86726,1.18141,0.000223863,0.000223863,0.000223863
5,7035.03,1.30501,1.05498,1.17438,0.95756,0.96123,0.98425,0.62692,1.31446,0.86628,1.18848,0.00021915,0.00021915,0.00021915
6,8858.46,1.29236,0.97848,1.16147,0.97365,0.97658,0.98751,0.6394,1.28979,0.79359,1.18349,0.000214438,0.000214438,0.000214438
7,10140.8,1.28292,0.94346,1.16094,0.97524,0.98172,0.98647,0.6488,1.24926,0.78226,1.18777,0.000209726,0.000209726,0.000209726
8,11020.6,1.26558,0.90172,1.1543,0.98017,0.98104,0.98837,0.65238,1.2556,0.75254,1.18588,0.000205013,0.000205013,0.000205013
9,11748.5,1.26134,0.87937,1.15417,0.97308,0.98124,0.98675,0.65152,1.24018,0.72106,1.16689,0.000200301,0.000200301,0.000200301
10,12472.6,1.24386,0.83526,1.14132,0.97464,0.98521,0.98889,0.6589,1.23434,0.70886,1.16903,0.000195588,0.000195588,0.000195588
11,13199.6,1.25233,0.83882,1.14597,0.98088,0.98071,0.98743,0.65327,1.24634,0.70097,1.18454,0.000190876,0.000190876,0.000190876
12,13924.9,1.23788,0.82079,1.14083,0.97937,0.98471,0.98796,0.65854,1.2462,0.68196,1.17686,0.000186164,0.000186164,0.000186164
13,14649.1,1.24029,0.79981,1.14452,0.98281,0.98716,0.98987,0.66008,1.24158,0.66304,1.17526,0.000181451,0.000181451,0.000181451
14,15372.6,1.23946,0.78916,1.14263,0.97918,0.9861,0.98899,0.65405,1.23745,0.67772,1.18176,0.000176739,0.000176739,0.000176739
15,16098.7,1.22174,0.76409,1.13612,0.98206,0.98815,0.98835,0.65884,1.24547,0.65129,1.17182,0.000172026,0.000172026,0.000172026
16,16822.5,1.22664,0.764,1.14033,0.97608,0.98823,0.98816,0.66117,1.23432,0.64194,1.16274,0.000167314,0.000167314,0.000167314
17,17548.4,1.21603,0.74255,1.13828,0.9814,0.98403,0.98712,0.65861,1.2422,0.63682,1.17358,0.000162602,0.000162602,0.000162602
18,18273.2,1.21275,0.73302,1.13688,0.98338,0.98715,0.98765,0.65915,1.25762,0.61845,1.17934,0.000157889,0.000157889,0.000157889
19,18995.4,1.21983,0.73124,1.14061,0.98258,0.98895,0.98913,0.66257,1.24221,0.60843,1.17239,0.000153177,0.000153177,0.000153177
20,19720.8,1.20778,0.71849,1.13674,0.97935,0.98873,0.98815,0.66508,1.22493,0.60949,1.16899,0.000148464,0.000148464,0.000148464
21,20446.3,1.19882,0.70462,1.13763,0.98014,0.98885,0.98801,0.66509,1.22735,0.60582,1.16395,0.000143752,0.000143752,0.000143752
22,21172.4,1.19718,0.69198,1.12805,0.98226,0.98753,0.98868,0.66384,1.23837,0.59572,1.18262,0.00013904,0.00013904,0.00013904
23,21899.3,1.20202,0.69763,1.13191,0.98384,0.98657,0.98753,0.66226,1.23109,0.58623,1.17452,0.000134327,0.000134327,0.000134327
24,22623.2,1.19881,0.69771,1.13284,0.97971,0.98973,0.98895,0.66578,1.22962,0.58062,1.17658,0.000129615,0.000129615,0.000129615
25,23350.5,1.19446,0.68343,1.1299,0.98129,0.9899,0.98867,0.66475,1.24322,0.57767,1.17284,0.000124902,0.000124902,0.000124902
26,24077.7,1.1907,0.67648,1.13104,0.98168,0.98759,0.98865,0.66271,1.22957,0.58517,1.18105,0.00012019,0.00012019,0.00012019
27,24804.7,1.18319,0.66468,1.12843,0.98099,0.98957,0.98874,0.66182,1.23889,0.56845,1.18113,0.000115478,0.000115478,0.000115478
28,25532.8,1.1795,0.66326,1.12589,0.98343,0.98862,0.98928,0.6688,1.22632,0.56467,1.17568,0.000110765,0.000110765,0.000110765
29,26260.8,1.17499,0.64994,1.12306,0.9827,0.98972,0.98846,0.66717,1.23443,0.55873,1.18005,0.000106053,0.000106053,0.000106053
30,26987.8,1.17538,0.65479,1.12463,0.9793,0.99079,0.9891,0.66373,1.24021,0.56015,1.17958,0.00010134,0.00010134,0.00010134
31,27714,1.17089,0.64605,1.12481,0.98351,0.99121,0.98915,0.66274,1.24626,0.55399,1.1785,9.6628e-05,9.6628e-05,9.6628e-05
32,28444.1,1.16253,0.63973,1.11562,0.98142,0.98905,0.98929,0.66348,1.24384,0.55835,1.18327,9.19156e-05,9.19156e-05,9.19156e-05
33,29169.9,1.1579,0.62816,1.11956,0.98075,0.9893,0.98914,0.66466,1.24633,0.54978,1.1804,8.72032e-05,8.72032e-05,8.72032e-05
34,29895.4,1.15817,0.62623,1.11249,0.98501,0.98976,0.9892,0.66814,1.23718,0.54445,1.18274,8.24908e-05,8.24908e-05,8.24908e-05
35,30621.9,1.15114,0.62084,1.11562,0.98098,0.99038,0.98911,0.66154,1.25354,0.53941,1.1883,7.77784e-05,7.77784e-05,7.77784e-05
36,31348.9,1.14569,0.61359,1.10743,0.98158,0.99014,0.98804,0.66253,1.24613,0.54095,1.18106,7.3066e-05,7.3066e-05,7.3066e-05
37,32077.2,1.14176,0.61101,1.11202,0.98355,0.98951,0.98948,0.66487,1.2463,0.53861,1.18754,6.83536e-05,6.83536e-05,6.83536e-05
38,32807.2,1.14865,0.61272,1.11292,0.98336,0.98941,0.98832,0.66244,1.25034,0.53079,1.19373,6.36412e-05,6.36412e-05,6.36412e-05
39,33532.8,1.13301,0.60677,1.11067,0.98392,0.98935,0.98964,0.66396,1.24902,0.53091,1.19421,5.89288e-05,5.89288e-05,5.89288e-05
40,34269.5,1.13621,0.60333,1.11116,0.98319,0.98998,0.9899,0.66409,1.24941,0.53262,1.19471,5.42164e-05,5.42164e-05,5.42164e-05
41,35007.9,1.125,0.58592,1.13341,0.98549,0.98897,0.98893,0.65857,1.25234,0.54088,1.20393,4.9504e-05,4.9504e-05,4.9504e-05
42,35746.1,1.10197,0.56364,1.13104,0.98261,0.9892,0.98943,0.66263,1.25708,0.53236,1.19146,4.47916e-05,4.47916e-05,4.47916e-05
43,36485.7,1.10433,0.55881,1.12726,0.98331,0.98931,0.98869,0.66005,1.25643,0.52997,1.19566,4.00792e-05,4.00792e-05,4.00792e-05
44,37221,1.09145,0.54746,1.11636,0.98449,0.98783,0.98918,0.66158,1.25441,0.5276,1.20174,3.53668e-05,3.53668e-05,3.53668e-05
45,37965.8,1.08651,0.54651,1.12181,0.98347,0.9899,0.9895,0.66087,1.2592,0.52568,1.20348,3.06544e-05,3.06544e-05,3.06544e-05
46,38935.8,1.08552,0.54256,1.11578,0.9844,0.98799,0.98844,0.66126,1.26193,0.52551,1.20351,2.5942e-05,2.5942e-05,2.5942e-05
47,39907.1,1.08038,0.54525,1.11185,0.9851,0.98918,0.98929,0.66205,1.25955,0.52419,1.20294,2.12296e-05,2.12296e-05,2.12296e-05
48,40997.6,1.07518,0.5398,1.11615,0.98371,0.98922,0.98856,0.66316,1.26243,0.52038,1.2018,1.65172e-05,1.65172e-05,1.65172e-05
49,41716.3,1.0679,0.53203,1.10991,0.98448,0.98862,0.98866,0.66233,1.26296,0.51927,1.20487,1.18048e-05,1.18048e-05,1.18048e-05
50,42433.5,1.06915,0.53295,1.1134,0.98432,0.98927,0.98884,0.66131,1.26284,0.51842,1.20412,7.0924e-06,7.0924e-06,7.0924e-06
