epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.5683,1.55089,3.94293,1.36817,0.003,0.81818,0.00744,0.00469,1.09134,3.87821,0.90556,0.0002,0.0002,0.0002
2,105.112,1.48654,2.45584,1.16246,0.00333,0.90909,0.10137,0.01318,1.44657,3.82891,1.00476,0.00040614,0.00040614,0.00040614
3,154.375,1.46512,1.89365,1.15854,0.003,0.81818,0.01213,0.00622,1.24022,3.71115,0.97027,0.00059776,0.00059776,0.00059776
4,201.635,1.43187,1.80212,1.18217,0.003,0.81818,0.00864,0.00457,1.33076,3.58531,1.01034,0.00077486,0.00077486,0.00077486
5,249.261,1.43187,1.6074,1.17748,0.00303,0.81818,0.19084,0.13349,1.37226,3.55927,1.0174,0.00093744,0.00093744,0.00093744
6,296.88,1.46389,1.84339,1.18567,0.00839,0.81818,0.4029,0.27306,1.33514,3.23064,1.01335,0.0010855,0.0010855,0.0010855
7,346.939,1.44213,1.62623,1.19762,0.00775,0.81818,0.7287,0.47471,1.24431,2.85024,0.97681,0.00121904,0.00121904,0.00121904
8,394.377,1.37087,1.46761,1.20775,1,0.24864,0.63673,0.35665,1.56373,3.0899,1.07878,0.00133806,0.00133806,0.00133806
9,441.004,1.43619,1.57676,1.22609,0.003,0.81818,0.29378,0.16825,1.46267,3.26866,1.06457,0.00144256,0.00144256,0.00144256
10,487.155,1.33979,1.48788,1.15496,1,0.6286,0.74991,0.42913,1.36938,2.06807,1.02833,0.001406,0.001406,0.001406
11,532.198,1.39281,1.46663,1.21098,0.97817,0.81818,0.81528,0.46961,1.42152,1.47712,1.07708,0.00134,0.00134,0.00134
12,579.418,1.45477,1.32904,1.19371,0.88381,0.81818,0.80628,0.53846,1.29426,1.36979,1.07471,0.001274,0.001274,0.001274
13,627.491,1.34625,1.32078,1.16579,0.8904,0.73964,0.80628,0.52437,1.295,1.4382,1.05599,0.001208,0.001208,0.001208
14,675.376,1.31603,1.25801,1.15253,0.97814,0.81818,0.84017,0.55618,1.20221,1.108,0.9806,0.001142,0.001142,0.001142
15,722.317,1.28055,1.22263,1.15886,0.98835,0.72727,0.80017,0.51561,1.33645,1.28389,1.02301,0.001076,0.001076,0.001076
16,774.031,1.29356,1.123,1.16709,0.99123,0.72727,0.83213,0.4996,1.45242,1.17278,1.08402,0.00101,0.00101,0.00101
17,821.105,1.29053,1.15224,1.15697,0.97125,0.72727,0.81636,0.41683,1.57262,1.36097,1.0957,0.000944,0.000944,0.000944
18,867.544,1.37021,1.2214,1.17081,0.88843,0.81818,0.80628,0.35351,1.80986,1.40804,1.20595,0.000878,0.000878,0.000878
19,913.968,1.22189,1.03069,1.09593,0.8915,0.81818,0.80628,0.55799,1.20357,1.01873,0.99311,0.000812,0.000812,0.000812
20,960.746,1.18978,1.01448,1.09459,0.99218,0.81818,0.81583,0.57906,1.0853,0.93697,0.94032,0.000746,0.000746,0.000746
21,1007.44,1.22883,1.20207,1.11996,0.98782,0.81818,0.81578,0.49761,1.39075,1.09909,1.02922,0.00068,0.00068,0.00068
22,1055.78,1.14672,1.16801,1.09693,0.99337,0.81818,0.8442,0.57988,1.18039,0.92463,0.96427,0.000614,0.000614,0.000614
23,1103.1,1.15659,1.08977,1.11269,0.99283,0.81818,0.83353,0.54966,1.32903,0.94378,1.02109,0.000548,0.000548,0.000548
24,1152.92,1.1459,1.06771,1.13253,0.98701,0.81818,0.81882,0.56233,1.30348,0.96525,1.01771,0.000482,0.000482,0.000482
25,1204,1.11477,1.03948,1.10268,0.99346,0.81818,0.81578,0.5755,1.28724,0.97151,1.00288,0.000416,0.000416,0.000416
26,1265.77,1.1091,1.03932,1.08929,0.99245,0.81818,0.81532,0.53716,1.38426,0.94644,1.02563,0.00035,0.00035,0.00035
27,1323.68,1.10646,0.98099,1.08006,0.99016,0.81818,0.81535,0.57057,1.14705,0.91547,0.94962,0.000284,0.000284,0.000284
28,1370.46,1.0683,0.9864,1.07038,0.99045,0.81818,0.81583,0.61392,1.05365,0.88613,0.93128,0.000218,0.000218,0.000218
29,1416.57,1.05804,0.95584,1.05834,0.99142,0.81818,0.81587,0.59101,1.09598,0.85519,0.9424,0.000152,0.000152,0.000152
30,1462.92,1.01446,0.92988,1.04786,0.99121,0.81818,0.81629,0.56904,1.19685,0.83875,0.97194,8.6e-05,8.6e-05,8.6e-05
